Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9813913663760323,0.9806133510011732,0.9806133510011732,0.9806133510011732,0.9806133510011732,0.9800948313571637
725,0.9164058536541758,0.9164058536541758,0.9164058536541758,0.9164058536541758,0.9164058536541758,0.9164058536541758
761,0.9046750192387778,0.9046750192387778,0.9046750192387778,0.9046750192387778,0.9046750192387778,0.9046750192387778
803,0.9126102310474644,0.9126102310474644,0.9126102310474644,0.9126102310474644,0.9126102310474644,0.9126102310474644
807,0.7580207413764461,0.7580207413764461,0.7580207413764461,0.7580207413764461,0.7580207413764461,0.7580207413764461
819,0.8255856851411084,0.8255856851411084,0.8255856851411084,0.8255856851411084,0.8255856851411084,0.8255856851411084
833,0.7385258514788717,0.7385258514788717,0.7385258514788717,0.7385258514788717,0.7385258514788717,0.7379523310395794
847,0.8028294413482183,0.8028294413482183,0.8028294413482183,0.8028294413482183,0.8028294413482183,0.8028294413482183
923,0.9998611311933681,0.9998611311933681,0.9998611311933681,0.9998611311933681,0.9998611311933681,0.9998611311933681
959,1.0,1.0,1.0,1.0,1.0,1.0
1019,0.9877093815080973,0.9877093815080973,0.9877093815080973,0.9877093815080973,0.9877093815080973,0.9877093815080973
1046,0.9298295271791572,0.9298295271791572,0.9298295271791572,0.9298295271791572,0.9298295271791572,0.9298295271791572
1053,0.7514010105649974,0.8065227377124483,0.8065227377124483,0.8065227377124483,0.8065227377124483,0.8061460725769407
1471,0.8227169559412549,0.8227169559412549,0.8227169559412549,0.8227169559412549,0.8227169559412549,0.8227169559412549
1489,0.8525721554116559,0.8525721554116559,0.8525721554116559,0.8525721554116559,0.8525721554116559,0.8525721554116559
4154,0.998321629213483,0.9983497191011236,0.998321629213483,0.9983286516853931,0.998321629213483,0.9983216292134831
4534,0.9568611488014475,0.9576119402985076,0.957449118046133,0.9579375848032565,0.9570872908186341,0.9568701944821347
41526,0.7396799065879683,0.7397249433498224,0.7397442380227924,0.7397892644423046,0.7396992074663434,0.7397892685792415
45023,0.62621,0.62644,0.62506,0.62506,0.62555,0.62456
45036,0.6237941521662927,0.6237941521662927,0.6238318339797655,0.6238318339797655,0.62382430102308,0.6238695072782157
46281,0.8983914791954933,0.9403380440809898,0.9403380440809898,0.9403380440809898,0.9403380440809898,0.9402667609852666
46298,0.85033,0.85033,0.85033,0.85033,0.85033,0.85033
PROMEDIO,0.86991,0.87504,0.87498,0.87522,0.87496,0.87463
