Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.9840114436619719,0.9842619816118936,0.9838553403755869,0.9816648082942097,0.9839490414710487,0.9811647104851329
15,0.9372014388489208,0.9379146968139774,0.9426330935251799,0.9381932168550874,0.9412065775950669,0.9380472764645427
29,0.8326086956521738,0.8295652173913042,0.8327536231884056,0.8076811594202897,0.8344927536231885,0.8285507246376811
31,0.6801999999999999,0.7072999999999999,0.7106,0.7138,0.6963000000000001,0.6935999999999999
37,0.7090926067396655,0.7098786181139123,0.7144503862150919,0.7045344198285375,0.7121008403361343,0.7071343688990747
38,0.983536318442918,0.984331652818522,0.9835894391062239,0.9829265550617459,0.9834040437753615,0.9831127233123124
44,0.9113029315960911,0.9111072794221782,0.9112159278666856,0.9025437379030353,0.9105854458764102,0.9100640371996411
316,0.9756723645261195,0.9859333025340931,0.9858918946665983,0.9858918946665983,0.9859333025340931,0.9859333025340931
953,0.9484639498432602,0.9477742946708466,0.9507523510971787,0.944921630094044,0.9499059561128527,0.9508150470219435
958,0.9910389610389609,0.9912121212121212,0.9910389610389609,0.9907792207792205,0.9912987012987011,0.9903463203463204
962,0.9943499999999998,0.99405,0.9933500000000001,0.9931,0.9938499999999999,0.9923000000000002
978,0.9880000000000001,0.9878,0.9872,0.98655,0.988,0.9866500000000002
1067,0.8167323344327994,0.8435278224943997,0.8448550618590357,0.8450439598788713,0.8450927041235606,0.8429588769686259
1462,0.9780621101526212,0.9780621101526212,0.9772568015925681,0.9767474452554745,0.9777685467816856,0.9763814200398141
1464,0.7535937360178973,0.7602774049217004,0.7606863534675614,0.7585583892617451,0.7600250559284114,0.7535910514541386
1487,0.9163374418223915,0.9360699612539076,0.9359907539506203,0.9364246010399856,0.9364246789999298,0.9335035198914798
1494,0.8126066350710901,0.8173459715639811,0.8164928909952606,0.8116587677725119,0.8178199052132703,0.8022748815165877
1510,0.9320090048129172,0.9318351187703772,0.9284893650054339,0.9226890234435646,0.9298913212234124,0.9263872069554416
4134,0.7153553129161118,0.716288362183755,0.717994176653351,0.7119681846426986,0.7187938215712383,0.7216998135818907
40701,0.92698,0.934,0.9381800000000001,0.93688,0.9380200000000001,0.9368400000000001
