Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9835464536503096,0.9835464536503096,0.9835464536503096,0.9835464536503096,0.9835464536503096,0.9799516106976263
725,0.9131833267403736,0.9131833267403736,0.9131833267403736,0.9131833267403736,0.9131833267403736,0.8689014117873178
761,0.7566894924613046,0.7566894924613046,0.7566894924613046,0.7566894924613046,0.7566894924613046,0.724035718196792
803,0.9121472601560002,0.9121472601560002,0.9121472601560002,0.9121472601560002,0.9121472601560002,0.828122014714205
807,0.8002685532215733,0.8002685532215733,0.8002685532215733,0.8002685532215733,0.8002685532215733,0.7086948025874199
819,0.808742167387186,0.808742167387186,0.808742167387186,0.808742167387186,0.808742167387186,0.7157226095903417
833,0.7351318182190666,0.7351318182190666,0.7351318182190666,0.7351318182190666,0.7351318182190666,0.7106452905781765
847,0.8042434038809891,0.8042434038809891,0.8042434038809891,0.8042434038809891,0.8042434038809891,0.7134287549698769
923,0.9738687129147655,0.9738687129147655,0.9738687129147655,0.9738687129147655,0.9738687129147655,0.9397714906925433
959,0.9302006172839506,0.9302006172839506,0.9302006172839506,0.9302006172839506,0.9302006172839506,0.9039969135802468
1019,0.997962193088843,0.997962193088843,0.997962193088843,0.997962193088843,0.997962193088843,0.9959512740715545
1046,0.9130073978771308,0.9130073978771308,0.9130073978771308,0.9130073978771308,0.9130073978771308,0.8742682534577034
1053,0.736022048690859,0.8065227377124483,0.8065227377124483,0.8065227377124483,0.8065227377124483,0.8065227377124483
1471,0.9672162883845126,0.9672162883845126,0.9672162883845126,0.9672162883845126,0.9672162883845126,0.9589519359145526
1489,0.8817546510432728,0.8817546510432728,0.8817546510432728,0.8817546510432728,0.8817546510432728,0.860178829615925
4154,0.9973665730337079,0.9983778089887639,0.9983778089887639,0.998321629213483,0.9983778089887639,0.998384831460674
4534,0.9586069651741294,0.9586069651741294,0.9586069651741294,0.9586069651741294,0.9586069651741294,0.9426684758028042
41526,0.7483117554160259,0.7483117554160259,0.7483117554160259,0.7483117554160259,0.7483117554160259,0.6209537914508134
45023,0.61193,0.61193,0.61193,0.61193,0.61193,0.54628
45036,0.5558467040476159,0.5558467040476159,0.5558467040476159,0.5558467040476159,0.5558467040476159,0.5186335176835732
46281,0.8943905256448129,0.9403380440809898,0.9403380440809898,0.9403380440809898,0.9403380440809898,0.9403380440809898
46298,0.73913,0.73913,0.73913,0.73913,0.73913,0.6911999999999999
PROMEDIO,0.8571050016237905,0.8624258036277257,0.8624258036277257,0.8623344792558357,0.8624258036277257,0.8256611365955633
