Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.8943379303599372,0.8943379303599372,0.8943379303599372,0.8943379303599372,0.8943379303599372,0.8174484546165882
15,0.955639260020555,0.955639260020555,0.955639260020555,0.955639260020555,0.955639260020555,0.9188807810894143
29,0.6372463768115942,0.5978260869565217,0.6028985507246377,0.5978260869565217,0.5956521739130435,0.5691304347826087
31,0.6069,0.6975000000000001,0.6975000000000001,0.6975000000000001,0.7000000000000002,0.6955000000000001
37,0.6695025889143535,0.6614523385111619,0.6614523385111619,0.6614523385111619,0.6591146761734996,0.6505415499533146
38,0.9057535791452211,0.938759463874787,0.938759463874787,0.938759463874787,0.938759463874787,0.938759463874787
44,0.8010226124722657,0.8010226124722657,0.8010226124722657,0.8010226124722657,0.8010226124722657,0.7375135958079592
316,0.9740175042348956,0.9859333025340931,0.9859333025340931,0.9859333025340931,0.9859333025340931,0.9859333025340931
953,0.7736677115987461,0.7736677115987461,0.7736677115987461,0.7736677115987461,0.7736677115987461,0.6782445141065832
958,0.9902164502164501,0.9902164502164501,0.9902164502164501,0.9902164502164501,0.9902164502164501,0.9877489177489176
962,0.9616,0.9616,0.9616,0.9616,0.9616,0.9469
978,0.9834499999999998,0.9834499999999998,0.9834499999999998,0.9834499999999998,0.9834499999999998,0.9651499999999998
1067,0.8063961905190754,0.8454244576780628,0.8454244576780628,0.8454244576780628,0.8454244576780628,0.8441922301899113
1462,0.9993438619774386,0.9993438619774386,0.9993438619774386,0.9993438619774386,0.9993438619774386,0.9993438619774386
1464,0.7056322147651006,0.7609664429530203,0.7609664429530203,0.7609664429530203,0.7609664429530203,0.7556348993288592
1487,0.905287399334222,0.9368586820091837,0.9368586820091837,0.9368586820091837,0.9368586820091837,0.9368586820091837
1494,0.7964928909952608,0.7964928909952608,0.7964928909952608,0.7964928909952608,0.7964928909952608,0.7380094786729857
1510,0.9144185685452568,0.9144185685452568,0.9144185685452568,0.9144185685452568,0.9144185685452568,0.8686290948610462
4134,0.7295395650244119,0.7295395650244119,0.7295395650244119,0.7295395650244119,0.7295395650244119,0.6317167509986684
40701,0.80472,0.8585999999999998,0.8585999999999998,0.8585999999999998,0.8585999999999998,0.8571599999999998
