Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9836359470700522,0.9831888598245638,0.9832067769014052,0.9834392470749301,0.9830726367331662,0.9827685342383704
725,0.9416622005883752,0.9413936175681142,0.9410641185808971,0.9414057381842617,0.941076403089826,0.9406368426502657
761,0.9075074664336408,0.9096804388750698,0.908594164970004,0.9098758437684613,0.9078740573371445,0.9064577629678301
803,0.5583667724711497,0.932430698063532,0.9318837528604118,0.932458738712138,0.9313926133707338,0.9308596835707783
807,0.7321658580047842,0.7318484647343708,0.7325200973523122,0.7343023792017079,0.7323739943874172,0.7306033191268091
819,0.8706737923755945,0.8704951933479644,0.8695076769541237,0.8706212492879442,0.8690557423705162,0.869160668471277
833,0.8181026579684297,0.8177974449115388,0.8182614402748632,0.8194942715748086,0.8179685117269009,0.8149415163509123
847,0.8524794694168101,0.8527378625044127,0.850957897112697,0.8527228848724759,0.8505319258526197,0.850060581859009
923,0.9935888599704389,0.9940054195317355,0.9947345393398027,0.9944104518775571,0.9939128202450572,0.9947576674056938
959,1.0,1.0,1.0,1.0,1.0,0.9984876543209877
1019,0.9934588101713865,0.9934678969388435,0.9933223762476203,0.9934315002145486,0.9931495373238147,0.992822012321756
1046,0.8489996783531681,0.847886780315214,0.8506272113219684,0.8497008684464459,0.8494113862978451,0.8493470569314893
1053,0.8119797887000461,0.8120440973817182,0.8106017455213594,0.8120073495636198,0.8108038585209003,0.8099402847955903
1471,0.6405674232309747,0.6411949265687583,0.6413818424566088,0.6412149532710281,0.6385180240320427,0.6383044058744993
1489,0.7496852879706719,0.7503692054681879,0.7680785623736596,0.7620833761606197,0.766042621715147,0.763341693219584
4154,0.9988412921348315,0.9985814606741573,0.9987359550561797,0.9987359550561798,0.99874297752809,0.9984971910112358
4534,0.9389778380823156,0.9388240615106287,0.9383808231569424,0.9390140208050655,0.9382541836273179,0.9373948439620081
41526,0.7908473191098554,0.7890012400467887,0.7908665517287743,0.7914905383085514,0.7900690247895592,0.7892907201269211
45023,0.70836,0.70858,0.70833,0.7091500000000001,0.70765,0.70497
45036,0.6683621950025332,0.6786388821478293,0.6870780614699484,0.6881026883345609,0.6775390676334057,0.6858723030439786
46281,0.9361637878764322,0.9403787772785455,0.9400631571855744,0.9402769546493368,0.9401751320201283,0.9395744987381002
46298,0.8149000000000001,0.81534,0.8137400000000001,0.81507,0.81345,0.8122800000000001
