Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.9607008020344289,0.9606069053208138,0.9622031005477308,0.9625156494522692,0.9622031494522694,0.9594187695618155
15,0.9625231243576569,0.9626628982528262,0.9630945529290852,0.9653782117163412,0.9639527235354574,0.9512209660842755
29,0.8591304347826086,0.84768115942029,0.8478260869565217,0.8510144927536233,0.8444927536231884,0.8414492753623191
31,0.7456,0.7464,0.7441,0.743,0.7448999999999998,0.7339
37,0.7686223580341227,0.767969612087259,0.7643239113827349,0.7674450386215093,0.763414820473644,0.7529929547576606
38,0.9653764997277214,0.9643161241590107,0.9667281957594812,0.9652439088657403,0.9660920125775115,0.9646602490909411
44,0.923799697870934,0.9250167587216163,0.9265597413019871,0.9258864891658405,0.9252774394561676,0.924907945050276
316,0.9859333025340931,0.9859333025340931,0.9852706055472854,0.9858504867991035,0.9859333025340931,0.9846919220437007
953,0.9315360501567398,0.9323510971786834,0.9309090909090908,0.9310971786833858,0.9302194357366771,0.9286206896551722
958,0.9973160173160173,0.9975757575757576,0.9957575757575757,0.9961904761904762,0.9972294372294371,0.9913852813852815
962,0.9986999999999999,0.9986499999999999,0.9987999999999999,0.9987,0.9986999999999999,0.9919500000000001
978,0.99495,0.9947500000000001,0.9939,0.9944999999999999,0.9947999999999999,0.9880999999999999
1067,0.8550498136911664,0.8570885163963032,0.8568041562067296,0.8567093694768718,0.856043385754973,0.8540528644279588
1462,0.9900881220968814,0.9878290643662906,0.9888467153284672,0.9890675514266757,0.988119708029197,0.9834587923025879
1464,0.7733807606263982,0.7756554809843399,0.7807284116331097,0.7753897091722596,0.7673780760626399,0.7712438478747203
1487,0.9353191290315036,0.936896804421888,0.9359112348075559,0.9365024830242221,0.9332682367799425,0.9349236382346752
1494,0.8640758293838863,0.8623696682464456,0.8552606635071089,0.8603791469194314,0.8593364928909952,0.8538388625592416
1510,0.9471122496506753,0.944823785126533,0.9416503648501785,0.9455224344045954,0.9444558298400869,0.9407840397453812
4134,0.7485199467376833,0.7484135996449178,0.7473996981802042,0.7479065778961385,0.7462799822458943,0.7442002308033733
40701,0.8549000000000001,0.8546,0.86836,0.8531599999999999,0.8724799999999999,0.86834
