Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9864706157540727,0.9862560346682042,0.9860950448746604,0.986515358465489,0.9858446176397438,0.9857999229097877
725,0.9445674459768421,0.9444331581915475,0.9441769863246374,0.9445918436522462,0.9438961783928227,0.9428586402411906
761,0.8195515521018877,0.8277806086530919,0.8300389394349125,0.8297215759631866,0.8276829509044275,0.8298313170796393
803,0.9382940380404027,0.9383501193376148,0.9382378976895254,0.9386447282301126,0.9380135036047342,0.9360636204817796
807,0.9063234230348323,0.9067994943162728,0.9054080669516911,0.9069338789473019,0.9056886513933493,0.9027471633511902
819,0.8735739290461324,0.8735845381242356,0.8729329574709547,0.8738471542058758,0.8729329464313313,0.8711567869396839
833,0.7853270517700048,0.7876587841688512,0.7864868762855339,0.7869139063769937,0.7846312896648467,0.7836918040944886
847,0.8350316972527504,0.8365532116834788,0.8353669577697912,0.8366750698821118,0.8350779265123762,0.8337393498503974
923,0.9945607943469785,0.9962041923719557,0.9960421486408328,0.9959611301223145,0.9951278905061798,0.9956024610136452
959,1.0,1.0,1.0,1.0,1.0,0.9983024691358025
1019,0.9979893995988748,0.9981804741256781,0.9984715817140806,0.9985807511976037,0.9982350485227589,0.9978438582182902
1046,0.885982631071084,0.8861756191701512,0.8891476358957866,0.8884464458025089,0.8861563203602445,0.8888195561273723
1053,0.710206706476803,0.8062287551676619,0.8064951768488747,0.8058888378502526,0.8063941203491042,0.8056224161690398
1471,0.511675567423231,0.5526435246995993,0.5519492656875833,0.5513751668891854,0.5523898531375165,0.5583711615487316
1489,0.8549404186795491,0.8548481173125023,0.8532194984068249,0.8548849830403946,0.8533676465549731,0.8522948059067393
4154,0.9983426966292135,0.9984129213483145,0.9984129213483145,0.9984058988764045,0.9984058988764045,0.9983918539325842
4534,0.9653459972862959,0.9656716417910448,0.9661781999095433,0.9664857530529172,0.9656535504296698,0.9654002713704207
41526,0.8348878445421909,0.8343797356290574,0.8359684186249029,0.8366887813515166,0.8352930037160032,0.8344375700047264
45023,0.6785,0.68797,0.68661,0.6878399999999999,0.6871799999999999,0.6855
45036,0.5652343291652298,0.5659951237303747,0.5750072533801092,0.5730856341634061,0.5649930843824551,0.574449661314975
46281,0.9177054098454107,0.9403380440809898,0.9401344869223636,0.9403075149121853,0.9403380440809898,0.9397678466856341
46298,0.9558000000000001,0.9568400000000001,0.9568700000000001,0.95703,0.9564900000000001,0.9549699999999999
PROMEDIO,0.868457,0.874502,0.874930,0.875212,0.873805,0.873428
