Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.9912704420970266,0.9914269855242566,0.9908328442879499,0.9912393877151799,0.99114534428795,0.9898944640062598
15,0.9580873586844809,0.9593751284686536,0.9596526207605344,0.9625190133607399,0.9592281603288797,0.9495015416238439
29,0.7669565217391304,0.7701449275362319,0.7665217391304349,0.7640579710144928,0.7684057971014492,0.7624637681159421
31,0.6154999999999999,0.7028,0.7047,0.7051999999999999,0.7008000000000001,0.6912999999999999
37,0.6773279008573126,0.6842381801205331,0.6744673627026568,0.686071640777523,0.6678338001867413,0.6740947288006112
38,0.9651637008800745,0.966277161979377,0.9670199026823828,0.9667808948302212,0.9672850141409173,0.9649779542220738
44,0.9205610631166501,0.9233868668271725,0.9225390171363829,0.9217567388943962,0.9223432469433035,0.9207570929518952
316,0.9829952261177557,0.9851468952654723,0.9856021251475798,0.9855193949660352,0.9856848553291242,0.9828310490563454
953,0.9466771159874608,0.9467711598746079,0.9444200626959248,0.9450470219435736,0.9443573667711598,0.9431974921630093
958,0.9975757575757576,0.9975324675324674,0.9963203463203462,0.9962770562770564,0.9974891774891774,0.9923809523809523
962,0.9471999999999998,0.9832500000000001,0.9923499999999998,0.99275,0.9758499999999999,0.9847999999999999
978,0.9722999999999999,0.97335,0.9875999999999999,0.9873999999999998,0.9725,0.9843999999999999
1067,0.8008454255834113,0.8458509979624231,0.8477008026477244,0.8476532967094821,0.8458983913273521,0.8441426979320282
1462,1.0,1.0,1.0,1.0,1.0,0.9895806237558062
1464,0.7118460850111856,0.7628348993288592,0.7585494407158836,0.7661861297539151,0.7641816554809842,0.7485127516778525
1487,0.8669680598108692,0.9366614433504066,0.9361871350500113,0.9364240553203763,0.9367008910821619,0.9354373942668258
1494,0.8691943127962085,0.8686255924170616,0.8637914691943128,0.8621800947867299,0.8685308056872038,0.8581990521327013
1487,0.8669680598108692,0.9366614433504066,0.9361871350500113,0.9364240553203763,0.9367008910821619,0.9354373942668258
1494,0.8691943127962085,0.8686255924170616,0.8637914691943128,0.8621800947867299,0.8685308056872038,0.8581990521327013
1510,0.9332091290172333,0.9321549448843348,0.9298851110076073,0.9321564974382859,0.9283046110852352,0.9212746467939761
4134,0.7549444829116733,0.7556112916111849,0.7509463293386597,0.7538251220594762,0.7539321438082557,0.74979902352419
40701,0.7937000000000001,0.8572599999999998,0.8581200000000001,0.8593799999999999,0.8572599999999998,0.8570000000000002
PROMEDIO,0.8644,0.8900,0.8916,0.8923,0.8899,0.8799
