Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9553964148253116,0.9767504236363069,0.9801931973485445,0.9801842807939012,0.9767504236363069,0.9798534806150903
725,0.9042599086223249,0.9054075007766282,0.9053585564323821,0.9069213188005135,0.9045894299585574,0.9044674564808795
761,0.8942383194732189,0.8938965434267447,0.9034181999953813,0.9036012458831251,0.8973390591511395,0.9020753370417802
803,0.9326830835855415,0.9325709406756723,0.931757397701828,0.9317434315100516,0.9320800275583769,0.9312242218449349
807,0.735730429153248,0.7364628957917547,0.7363408031193266,0.7372322383060638,0.7364993619356035,0.7332280843690239
819,0.8750342504316493,0.875023757269592,0.8738995592982332,0.8746980607797507,0.8740465850028923,0.8738469389332191
833,0.8017822371513647,0.800390549048267,0.8027221622523636,0.8025270255471598,0.8011109248693141,0.8011840284994648
847,0.8094614418575041,0.8094005937809261,0.8077273816344599,0.8083511988471621,0.8071796447731653,0.8040464839025181
923,0.6915865049911102,0.6915865049911102,0.9927901752243858,0.9907418117944434,0.6915865049911102,0.9913898193667932
959,1.0,1.0,1.0,1.0,1.0,1.0
1019,0.9722525417914752,0.972352665886264,0.9718886862710778,0.9718522523059328,0.972161578945844,0.9713700412256212
1046,0.6796783531682214,0.7628883885493727,0.7678224509488583,0.7676423287230623,0.7642071405596654,0.7661691862335155
1053,0.8047772163527792,0.8054386770785484,0.805539733578319,0.8042259990813045,0.8050436380339917,0.8032705558107489
1471,0.48173564753004006,0.5586715620827769,0.5662616822429907,0.5615821094793056,0.5546061415220293,0.5595994659546061
1489,0.759750762325693,0.7718355089594682,0.7771456470346386,0.7614352451433858,0.7767015280775688,0.7746108541473944
4154,0.9909550561797752,0.998384831460674,0.9983567415730336,0.9983707865168537,0.9983707865168537,0.998384831460674
4534,0.7116960651289008,0.758100407055631,0.921917684305744,0.9217367706919946,0.7491723202170963,0.9114970601537764
41526,0.756924408857595,0.763993236108425,0.7851933986900391,0.7859459798800081,0.7844343411255985,0.7830965716170977
45023,0.6763199999999999,0.6885799999999999,0.6965600000000002,0.6953400000000001,0.6953100000000001,0.6957800000000002
45036,0.548206886666468,0.5757453667633121,0.6299122243084027,0.6091014266920414,0.6152264215475486,0.6278250702134575
46281,0.19413519172069257,0.9403380440809898,0.9403380440809898,0.9403380440809898,0.9403380440809898,0.9403380440809898
46298,0.83304,0.8392000000000001,0.8381099999999999,0.8390099999999999,0.8378200000000001,0.83689
PROMEDIO,0.7935790,0.8253262,0.8545207,0.8528252,0.8253648,0.8508282
