Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9870697242585466,0.9872307060551804,0.9868998458995445,0.986989275344007,0.9865420961340539,0.9847536511891807
725,0.9394776886052054,0.9395509561281373,0.9384645481289777,0.9392580797278783,0.9380616624240785,0.9299807798465517
761,0.9343507052231886,0.9341920197624897,0.933276618981317,0.934265197889359,0.9333132415682752,0.9243161685443565
803,0.9438488423021087,0.9440171452474102,0.9429650943628356,0.9403701582146108,0.9433017297802713,0.9352081690903276
807,0.8310914961250531,0.8308352721104398,0.8303344753680324,0.8309328926107449,0.8294436808530768,0.8199954557001538
819,0.8790482464662168,0.8791638534026326,0.8779134228573194,0.8740151772742728,0.8777872399616704,0.8661241979713588
833,0.8053098430279638,0.8070555693374483,0.8043088976646022,0.8070555544381045,0.8043943603004006,0.7937013247751503
847,0.8599637365372039,0.8603743597756828,0.8589296433263306,0.8580624106579626,0.8581690828804741,0.8419842815887401
923,0.9999189814814815,0.9999189814814815,0.9999305555555555,0.9999189814814815,0.9999189814814815,0.9999189814814815
959,1.0,1.0,1.0,1.0,1.0,1.0
1019,0.9953419972102466,0.995260166648667,0.9947870878524071,0.9952236954426716,0.9948234969903187,0.9934680334886277
1046,0.9507944676744933,0.9505435831457058,0.9505500160823414,0.9503248633000966,0.9505950466387904,0.946420070762303
1053,0.8150206706476802,0.8159761139182362,0.8153146531924667,0.8167845659163987,0.8152044097381719,0.8085989894350023
1471,0.9180574098798396,0.9198798397863819,0.9194526034712951,0.9197530040053404,0.9174766355140187,0.9158010680907878
1489,0.8954107308048104,0.8955771747695891,0.8949853016754034,0.8934311165930037,0.8948557405694316,0.8822362695720696
4154,0.999066011235955,0.9989957865168541,0.999009831460674,0.9990028089887641,0.9991011235955056,0.9987921348314608
4534,0.9676888285843509,0.9673993668023517,0.967652645861601,0.9673993668023517,0.9670104025327905,0.9621709633649934
41526,0.8395060745744901,0.8390042558736746,0.8394288358970274,0.839776094504183,0.8373770373120667,0.8342123593053669
45023,0.71529,0.7155199999999999,0.7132299999999999,0.71443,0.7096399999999998,0.7002899999999999
45036,0.7041591287428847,0.7038426622502082,0.7045359326859078,0.7019062609542217,0.7027200927569797,0.6941533356891562
46281,0.9298312578059007,0.9402260744287766,0.9401853101371764,0.940093743360126,0.9402769546493368,0.9398187476355573
46298,0.91503,0.9167499999999998,0.91533,0.9165899999999999,0.91448,0.91051
PROMEDIO,0.9064343,0.9070039,0.9063887,0.9059873,0.9054692,0.9004800
