Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.9872349374021908,0.9876418720657276,0.9865154538341155,0.9870785895931141,0.9863587147887323,0.9825725743348983
15,0.9660976361767729,0.9653812949640287,0.9652384378211716,0.9661007194244604,0.964956834532374,0.951656731757451
29,0.8647826086956522,0.8643478260869564,0.863913043478261,0.8630434782608697,0.8618840579710145,0.8184057971014492
31,0.7546,0.7509,0.7491,0.7513,0.7432,0.7177
37,0.7545522451404804,0.7544232238349884,0.747782870724047,0.7536363636363635,0.7462184873949579,0.6955852644087938
38,0.982290196216207,0.9828999244646652,0.9826084986034747,0.9831920178474188,0.9827676849298225,0.9783929945368631
44,0.949033446631733,0.94914230751074,0.9489244913373933,0.9484901335976964,0.9480986640230376,0.9379048765519521
316,0.9859333025340931,0.9855607172800849,0.9857263487500643,0.9856848553291242,0.9859333025340931,0.9854364936776004
953,0.9679623824451411,0.9695924764890284,0.9686206896551723,0.9690909090909091,0.9656112852664576,0.9623510971786834
958,0.9964502164502165,0.9961904761904762,0.9958874458874459,0.995930735930736,0.9961904761904762,0.9948051948051949
962,0.9984999999999999,0.9984999999999999,0.99835,0.9980499999999999,0.9984999999999999,0.9984000000000001
978,0.99295,0.9936499999999999,0.9938499999999999,0.9945500000000002,0.99405,0.9914499999999999
1067,0.8557604890184731,0.858084339926377,0.8554294109038512,0.8568046064999831,0.8562353232542693,0.8471320822685775
1462,0.9916926343729263,0.9911824817518248,0.9901616456536165,0.990963503649635,0.9909632382216322,0.9878290643662906
1464,0.7390255033557048,0.758152125279642,0.7601691275167785,0.7644366890380314,0.755082774049217,0.744923489932886
1487,0.940962649390743,0.942304028190316,0.9415538196474651,0.942027972027972,0.9405270871826055,0.9336620904179432
1494,0.8676777251184834,0.8672985781990523,0.8641706161137441,0.8659715639810426,0.861042654028436,0.8222748815165876
1510,0.9578217668063965,0.9578279770222015,0.9553718366713242,0.9571277751901878,0.9555519329296693,0.9370889613414064
4134,0.7903761739902352,0.7905099689303151,0.7889106435863293,0.7900293652907235,0.7844854682645361,0.7649680248557479
40701,0.9442,0.9489000000000002,0.9476600000000001,0.94872,0.94666,0.9428200000000001
