Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.984977268783342,0.9847537591474655,0.9846285555261447,0.984905748418811,0.9846106584415781,0.9844855028017174
725,0.9400023391969701,0.9399167797154374,0.9395629128515034,0.9400510824000757,0.9391601761400418,0.9382690463898519
761,0.7877192829541824,0.7878903870179037,0.7961299476064576,0.7930173182522176,0.7945673416814355,0.7946168596504166
803,0.9404963362121995,0.940440225388155,0.9402859280037401,0.9404542112644867,0.9402578676705791,0.9387991240373023
807,0.8839725226302407,0.8837039470596519,0.8824221341671006,0.8834599405069202,0.882324796754327,0.8814092544293888
819,0.8374905500823556,0.8374170703488963,0.8367866802527633,0.8368601213475405,0.8361877862022371,0.8360930662333246
833,0.8169186816166681,0.8162960827390358,0.8158201828000484,0.8183956386640949,0.8153927653256511,0.8149289860028114
847,0.8510954621479128,0.8510651943677621,0.8486007604562736,0.8514149000816015,0.8489352686193145,0.8481597305415213
923,0.8467536630036632,0.8442078352933616,0.8672956965062228,0.8568220230062334,0.8657332835293361,0.8647729566972987
959,1.0,1.0,1.0,1.0,1.0,0.9985416666666667
1019,0.997771073045445,0.9977801598129019,0.9976073291648407,0.9976619325270275,0.9976164159322977,0.9972616389036127
1046,0.8773882277259568,0.8772981666130589,0.9320810550016083,0.891630749437118,0.9261756191701513,0.9308137664844
1053,0.808130454754249,0.8082682590721175,0.8075516766192008,0.8081855764813964,0.8076435461644464,0.8067064768029398
1471,0.5926101468624833,0.6031174899866489,0.607570093457944,0.6030106809078772,0.6005740987983978,0.6072696929238985
1489,0.8381932367149757,0.8381934422859492,0.837083016411416,0.8378602117381025,0.8359915715900915,0.8353066947613662
4154,0.998384831460674,0.998384831460674,0.998384831460674,0.998384831460674,0.998384831460674,0.9983356741573033
4534,0.955685210312076,0.9555857078245137,0.9551424694708277,0.9552057892356399,0.9549163274536409,0.9547535052012663
41526,0.8425613306043341,0.8423811938992594,0.8426256930661838,0.8435454809654369,0.84256137404217,0.8416030319609391
45023,0.7097700000000002,0.70953,0.7092899999999999,0.7104900000000001,0.70872,0.70758
45036,0.6118819675946622,0.6126127410283592,0.6117539527444628,0.6130271501496515,0.6111660273303843,0.6093504428521352
46281,0.9397984691365704,0.9392995807486408,0.9401547965153942,0.9394115814948979,0.9402871275840446,0.9394014396542343
46298,0.87603,0.8764399999999999,0.8756400000000001,0.8755499999999999,0.8752699999999999,0.8737600000000001
PROMEDIO,0.8751122,0.8753097,0.8770480,0.8767606,0.8761817,0.8755014
