Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.9607014866979655,0.9596061228482003,0.9658632629107982,0.9640489534428796,0.963735377543036,0.965142899061033
15,0.965951695786228,0.9679547790339157,0.960655704008222,0.9663833504624872,0.9655231243576565,0.9509352517985613
29,0.6894202898550723,0.6584057971014492,0.6814492753623188,0.6746376811594201,0.6810144927536232,0.6586956521739131
31,0.7062999999999999,0.7064,0.6990000000000001,0.7066,0.7,0.6901999999999999
37,0.7538010355657414,0.7565317035905271,0.7500195229606994,0.7517052881758766,0.7479390544096427,0.7367226890756301
38,0.9584291109666766,0.9579263618318197,0.9619292778470673,0.9637320779243592,0.9614525971858697,0.962088042580849
44,0.7077796818203277,0.7084967898786764,0.7213860642968417,0.7095622905159799,0.703693763867252,0.7162341972336308
316,0.985643704121965,0.9855198227332614,0.9853956846842223,0.9853543623701726,0.9858918946665983,0.9830368906455863
953,0.9589655172413795,0.9579623824451411,0.9571473354231975,0.9574608150470221,0.9572727272727274,0.9560501567398119
958,0.9663636363636363,0.966926406926407,0.9658008658008658,0.9658874458874459,0.9655844155844158,0.9640692640692642
962,0.9489,0.9640499999999999,0.9626,0.9636500000000001,0.9614499999999999,0.9608500000000001
978,0.96265,0.9733499999999999,0.9723500000000002,0.9731000000000001,0.9714,0.97165
1067,0.8492173903254495,0.848317141538427,0.8496444934763765,0.8483170289651136,0.84789071382738,0.8466567977395278
1462,0.9991262110152621,0.9986165892501659,1.0,1.0,0.9997818181818181,0.9916188453881883
1464,0.763371812080537,0.7625709172259508,0.7565530201342283,0.7616366890380314,0.7621727069351232,0.7457172259507829
1487,0.934408011163864,0.9363851533082302,0.9355965105128985,0.9361487007975302,0.9367797085857287,0.9353977126552379
1494,0.81042654028436,0.8078672985781991,0.8063507109004737,0.8086255924170617,0.8035071090047393,0.795734597156398
1510,0.9175904362676603,0.9133659369663095,0.9063328675671479,0.9103757180562023,0.9088029809035864,0.9102002794597113
4134,0.7733939813581889,0.7739813581890813,0.7715015357301376,0.7731277407900576,0.7712345494895694,0.7700615002219263
40701,0.8609600000000001,0.8632000000000001,0.86982,0.8689799999999999,0.86748,0.86784
