Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9871234554967961,0.9870429226147017,0.986721007002894,0.9869624577063424,0.9866584351806462,0.9858357450681057
725,0.9410278535781893,0.9410277641821265,0.9402098870555246,0.9409300989837903,0.939721568513515,0.9355956422399374
761,0.9381712694464374,0.9382201094952773,0.938159066883899,0.9380492065726965,0.9367064479145015,0.9310914439773499
803,0.9428807657291897,0.9429648778327305,0.9421092099111735,0.9426142073275756,0.9421514431239388,0.9386026426515096
807,0.83736605676203,0.8380741629734918,0.8374150532539795,0.8385623846697672,0.8371830257736299,0.8247563473066828
819,0.8796052120270074,0.8796578103127746,0.8783653298418684,0.8794372110378571,0.8779555390206528,0.8717980841837523
833,0.811596896764682,0.8109499598090203,0.8092042483988793,0.8109499151109888,0.808801303096605,0.7939934636578931
847,0.8614845333379633,0.8620018172242767,0.8611649796575054,0.8619713063759107,0.8601153763795567,0.8466847463120185
923,0.9998495638133796,0.9998379897393055,0.999861131193368,0.9998611378874537,0.9998727052674421,0.9993403514127198
959,1.0,1.0,1.0,1.0,1.0,1.0
1019,0.9960425348439876,0.9961062415251205,0.9960061588090541,0.9960607580333687,0.9957696090662435,0.9951783236734706
1046,0.9445159215181731,0.9442907687359281,0.9439047925377935,0.9442972016725636,0.9438147314248956,0.9421743325828242
1053,0.8131465319246671,0.8131281580156178,0.8129903536977493,0.8136518144235185,0.8126136885622417,0.8057877813504823
1471,0.8916555407209611,0.8921028037383177,0.8914886515353806,0.892136181575434,0.8908744993324433,0.8863818424566088
1489,0.8827157809983897,0.8820127625312639,0.88127243293247,0.8821791893651283,0.8802362010484118,0.8678753554664748
4154,0.9992205056179776,0.9990660112359552,0.9991994382022472,0.9992345505617977,0.9992275280898876,0.9983918539325842
4534,0.9617819990954318,0.9616734509271823,0.9617367706919944,0.9618091361374943,0.9618543645409315,0.9592220714608775
41526,0.8399884765627021,0.8387728645908209,0.8390558248586458,0.8397183470041856,0.8388563562481707,0.8336208373366815
45023,0.7142400000000001,0.71405,0.7127200000000002,0.71419,0.7128700000000002,0.6938499999999999
45036,0.7081827948291105,0.7083109033445589,0.7073314004231966,0.7086650374590036,0.7074520497788223,0.6926386721106043
46281,0.9381491270347166,0.9394625187212057,0.9400835704254185,0.9403380440809898,0.9400530308919326,0.9399613811974317
46298,0.9340599999999999,0.9350399999999999,0.93416,0.9352300000000001,0.93403,0.92824
