Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.9914583333333333,0.991427034428795,0.991364534428795,0.9913645344287949,0.9909894855242567,0.9875470461658843
15,0.9577954779033915,0.957650565262076,0.9572178828365878,0.95979753340185,0.9580781089414182,0.9460462487153134
29,0.8666666666666667,0.864782608695652,0.8578260869565217,0.862463768115942,0.8623188405797102,0.8265217391304348
31,0.7414999999999999,0.7463000000000002,0.7419,0.7467,0.7411000000000001,0.7192000000000001
37,0.7396884814531873,0.737868601986249,0.7300483829895594,0.735783889313301,0.7321330956625074,0.6960555131143364
38,0.9856309659739665,0.9859490926976655,0.9853920283872328,0.9857903630965974,0.9854453949795352,0.9846229381488573
44,0.94966336213001,0.9492723174243498,0.9484465845253269,0.9488812019071899,0.948750743520748,0.9421219610064676
316,0.9858090789316085,0.9851881320260767,0.9856848553291242,0.9857263487500643,0.9859333025340931,0.9853134678233494
953,0.9672727272727273,0.9683385579937304,0.9685579937304075,0.9693103448275864,0.9683072100313478,0.9639811912225705
958,0.9949783549783551,0.9948917748917749,0.9941558441558443,0.993939393939394,0.994935064935065,0.9934632034632035
962,0.9972,0.9972500000000001,0.99715,0.9972,0.9972500000000001,0.9953
978,0.9948,0.9945,0.99405,0.9939,0.9948,0.9925
1067,0.8564246715673584,0.8577524737985613,0.8564720649322872,0.8562831669124519,0.8551917686393266,0.8440990194864406
1462,0.9911092236230921,0.9911092236230921,0.991328201725282,0.9912562707365626,0.9919113470471135,0.9888499004644992
1464,0.7531838926174497,0.7590684563758389,0.7600232662192394,0.7592143176733781,0.7598809843400448,0.751612527964206
1487,0.9425814096717108,0.9421866205143797,0.9399759883371924,0.9410424803735838,0.9390687684667617,0.9352399996881603
1494,0.8654028436018958,0.8655924170616113,0.8628436018957347,0.8646445497630332,0.8621800947867299,0.8297630331753555
1510,0.9613398540599286,0.9611659680173885,0.9558903896910418,0.959757801583605,0.9567753454432542,0.9511457848160224
4134,0.7917895428317798,0.7920560674656015,0.7899234798047048,0.7917095783399912,0.7896836928539726,0.7610771060807813
40701,0.9487599999999999,0.9491399999999999,0.94878,0.94878,0.9484600000000001,0.9433799999999999
PROMEDIO,0.9112,0.9118,0.9097,0.9112,0.9099,0.8969
