Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
310,0.01912905887202433,0.01577099352104519,0.010220983302231585,0.02128896402115944,0.010353081692960953,0.01701885196487728,0.2632997823032751,0.05703904630847464,0.058161760527581256,0.05907602454376344,0.05820605616203975,0.06537854367865954
725,0.02646095484107541,0.03477304925146864,0.010776230329387702,0.05122316192732725,0.01077632680845229,0.018589006745478108,1.0142823319179188,0.21149885955791398,0.20831585571449104,0.21347402461745207,0.20831586927579607,0.23544288595498156
761,0.1143957070503188,0.03762776947144279,0.012124541657003756,0.04977379435885791,0.012124543564347294,0.019241391582345092,2.9334650346196636,0.474488947720362,0.4706742895024295,0.47556888869927844,0.47067428968517916,0.507286877558869
803,0.057805539121007124,0.014024011558527194,0.011440035584973512,0.09796518413589497,0.01146145293906033,0.01627966368467622,1.3847539277348793,0.22119852218549593,0.2211032260235952,0.24125712550712142,0.22110782689731695,0.24286644897442133
807,0.046569768584953326,0.021351460853160076,0.014513398322147349,0.10105361901523015,0.014513398724779277,0.023952167909605655,1.5612561727164316,0.398202166475003,0.39754936293966026,0.417988022598797,0.3975493629672785,0.4440125480140042
819,0.08340681790119932,0.014183346408241865,0.009375783761728753,0.09808848959920553,0.009375783761728741,0.020803948869332692,2.6383588458555067,0.40828802122036195,0.4078225607834788,0.4275879995254369,0.4078225607834788,0.4335335421798854
833,0.11255583020073827,0.017947077868067138,0.012642960040008054,0.06364778051478197,0.012642960040008056,0.02037782659711113,3.0457710824963344,0.49522536933599154,0.4945481119759865,0.5026959980947667,0.4945481119759865,0.5377255223538887
847,0.07055940371943534,0.014946389297726861,0.015102619974345389,0.0838970494174547,0.01510262900822496,0.025490190060522187,2.305320047095905,0.4160040772076757,0.4160767613104565,0.4301226474433657,0.41607676235545143,0.4656850437739281
923,0.008637035052614216,0.034678167126991406,0.012230394785379534,0.040367348967534813,0.01223051252672248,0.01744825197398097,0.3081928782101316,0.09203342037588308,0.08855344505034943,0.09161194688226565,0.08855345598619982,0.10756366590088011
959,0.13891433562939481,0.003930986381771876,0.0024950165140971113,0.002527599044836035,0.002495023729992564,0.0047477249449982975,0.08655971118097354,0.022781270167755795,0.021865061191989266,0.02193731229671173,0.021865062706629156,0.032648832701842434
1019,0.010627281960428529,0.004046895600052942,0.005558035872886018,0.009221817848506871,0.00878902457295033,0.00795465096937824,0.02788068183580031,0.007652054555970737,0.015616654896909594,0.012248369200187499,0.013035886666969993,0.010934450497998946
1046,0.06511730964723432,0.028832552411545143,0.010293951085913572,0.057939194066799746,0.01029395108591357,0.01599309771033324,1.4255369508555686,0.23747182293111424,0.2352526064879172,0.2425870186991903,0.2352526064879172,0.25712030951690545
1053,0.17209599405411943,0.012139103838327588,0.016061631612126745,0.029673297774219412,0.0165623576507976,0.02400003269804643,3.5117595842171867,0.4746707582189623,0.4749964018022129,0.4765820551710205,0.4750583454162999,0.48632520528150425
1471,0.028432495511847268,0.024134992746755964,0.006583584159732387,0.07899903169214437,0.00658358415973239,0.01154235650145049,0.3300270814979992,0.1153493397560406,0.11333152098288345,0.12651763615344694,0.11333152098288349,0.14170984420590702
1489,0.04942830196927383,0.03738128382337787,0.016447827984143723,0.06295167254761604,0.016448029498919377,0.027001856933806852,1.6163280044525519,0.3245407023010777,0.3207197219613514,0.32828051647251255,0.32071973626478534,0.36441848669074006
4154,0.01829399065095322,0.00232299131247695,0.002571730169857453,0.0028257853353515776,0.0014904325600105753,0.001904511104679953,0.053251682399919745,0.012047667927952373,0.012408721702807442,0.011936638301190914,0.012172920315525138,0.012549953587858353
4534,0.019522355425704956,0.03096825018162075,0.008612692836442386,0.060764224439555134,0.008612839397884845,0.011455391481767534,0.4855973739803243,0.13660766358021706,0.13335267041193266,0.1410423280709536,0.13335266905570278,0.15894377461784331
45036,0.22859176259052802,0.007951410158023631,0.011948374381677718,0.04230241176729921,0.017722849860635666,0.01762818456541166,4.778185086338001,0.6781350411965117,0.6784356206084218,0.6817739081130852,0.6790020093267765,0.6893442682079699
46281,0.12133973985053371,0.005742530586361043,0.005662662033072126,0.0062575280622151515,0.01389526566923572,0.007408449577608079,1.6511252294081669,0.22334919626916533,0.2238664913868016,0.22484774565169777,0.22542783279880066,0.22634557227825025
46298,0.09899346302939102,0.011253369456656035,0.014936980720158406,0.08489238991717682,0.014936980720158437,0.023570236565390562,2.7341697509901555,0.4972885191225796,0.4977262447648003,0.5120275051390787,0.4977262447648003,0.5348222120218709
PROMEDIO,0.06613720,0.01815190,0.01089169,0.05135411,0.01166551,0.01705665,1.38046540,0.26290299,0.26093809,0.26733469,0.28216702,0.28235633
