Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
310,0.002545090661867026,0.008095636017799708,0.011480403586552555,0.005471283408341779,0.020727297168208682,0.02523727816525856,0.057792700886815276,0.05814431340698925,0.07679435079748143,0.058858975113927944,0.06722801839718469,0.05938258902406048
725,0.006255911667101202,0.008693246882451459,0.02048813435253779,0.010892547671159483,0.026116874127123234,0.03896607837814647,0.1306519921097333,0.13089365385204935,0.16069698234921145,0.13102488335715662,0.1435687728926779,0.14426081136145022
761,0.029829796678578022,0.01646524483677994,0.022876635521094563,0.012955254906114154,0.037807313215520916,0.044878209563659004,0.22874127211266188,0.22728587941808698,0.2578569795913386,0.2260194693337449,0.23975825338720186,0.23726837463073455
803,0.41835093932916273,0.03935040306554741,0.014840311587726791,0.03819030245493896,0.040348767993515694,0.03754337911343446,0.6654261500095424,0.23093454252224607,0.2622312555739684,0.23100648895834272,0.24888414412718635,0.22941859442616752
807,0.032450572298330344,0.03447480064248831,0.026381341902965462,0.018543149893173214,0.04343146574163801,0.04397551741018642,0.5302598712162314,0.5308192008007563,0.5430301482038317,0.5249808871531889,0.5298200035837958,0.5322111950945998
819,0.01762156436646519,0.014210377153685158,0.018237010457593152,0.01548023876952561,0.02991127564780547,0.037080310919207576,0.3261620742832098,0.32597128512171464,0.3508635983299782,0.3263046758522162,0.3306752224119363,0.33200438451762015
833,0.028775602322950195,0.029536140497289465,0.023461389180593494,0.012145081982298578,0.033936718140668926,0.03976219710485728,0.38784805883358975,0.38806091167473594,0.416982809532128,0.38221678653686814,0.39094000793481065,0.3906472466678681
847,0.012099021984981998,0.014859375466938687,0.024937667489756062,0.01422327660014901,0.038503864892365784,0.04158363616830587,0.3249568553291498,0.3252107067051069,0.36574745953210114,0.32534756743796917,0.3383468861823156,0.33585213731314545
923,0.05369581137446367,0.01961787224933846,0.0066219071329171484,0.0005773817650729878,0.03456437481768679,0.04186858216896777,0.04544571513822522,0.023833127693242383,0.020999031656513484,0.009981060218064485,0.014081940233723193,0.028710715723301264
959,0.0009165176427435277,0.0,0.0,0.0,0.0,0.033375420361838076,0.0021934466647154146,0.0006424085110765201,2.2013379585295313e-07,1.747288754704605e-05,2.220446049250313e-16,0.01548593050996486
1019,0.0006380801879618268,0.0012165752200780928,0.01105075675379213,0.0016676375730458653,0.017201940930782395,0.027719611029393403,0.020120428002128272,0.02084159909008649,0.04265939219584372,0.020988773052795128,0.0280941613390383,0.028988450062251512
1046,0.12215754273425342,0.12200143941687863,0.019500419609842994,0.06805998283710818,0.04171312286715987,0.03579932201982396,0.4319780822539444,0.4323209378865874,0.3870709917276523,0.395771380776103,0.38180240243262326,0.3781439348697744
1053,0.028029097446072335,0.034572205193744265,0.026407145812615936,0.021304367513039574,0.04350829904579863,0.04224492290262959,0.4644497844713005,0.46184498195600304,0.4637616779404549,0.4571570849322813,0.45498291338436603,0.45435952631812954
1471,0.027589523879725363,0.02748653902580668,0.013781561288816998,0.026767750325515344,0.038638879553922444,0.03247037134649886,0.6406956964572378,0.6406093961480915,0.647920719248646,0.6406032842042234,0.6405922630695019,0.6410347385442441
1489,0.07616732234903986,0.07531938126181163,0.028811199935117097,0.05400636160587156,0.05380512646885004,0.05645360739977451,0.47228910441523103,0.472330279781469,0.5145810546707446,0.465411300398957,0.4636761227152754,0.4663279444467902
4154,0.0007746349326357991,0.0006500266524123428,0.0051848263267628755,0.000524527850373561,0.005952372577985986,0.017656034019327086,0.008935538183845787,0.007204640342928088,0.016868422069125345,0.008214786747656966,0.00978871333450999,0.011417866924349662
4534,0.0102647903267725,0.013223210518890489,0.02178493001919771,0.013114565117115862,0.04117171482207313,0.04552119285376786,0.1462049168253255,0.14654062133761692,0.1640945373346539,0.1465333795809934,0.15535025902305974,0.15637066086268836
45036,0.08938196487696415,0.08780602386094442,0.02494297053541361,0.06052879821467332,0.045405326646769356,0.0384695760201555,0.6142607387781505,0.6142801065543988,0.6095366775379241,0.6038242586927198,0.5966292308779659,0.596621014019938
46281,0.04718493489262089,0.005636362747461781,0.012653777419765706,0.006353759787981271,0.02394001837525618,0.028485804853449533,0.22464475900140773,0.2106170453997528,0.23047627760782718,0.2107763650032271,0.2209638813828424,0.2150639789484124
46298,0.012787044640944156,0.013791338726317756,0.01908744543640915,0.013872406333264219,0.02950003877570535,0.035758861585181004,0.3924179074225519,0.3925260722438495,0.4128362136353773,0.3922348353710132,0.39852289550721315,0.39855453643731176
