Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
3,0.04080768285398848,0.0235621373169744,0.025105510517379352,0.017143336242488604,0.039654087562449425,0.05994904161637602,0.1172906270704966,0.1069878867863237,0.18755467758227265,0.10345573936745966,0.11620623215825476,0.12702537559465077
15,0.02974302332149588,0.029844040896591116,0.028806435759888352,0.02360547998809118,0.03293632690480556,0.11560676834167212,0.11028720087035947,0.10970403522824461,0.384703200236308,0.10949613043247645,0.1609143982509164,0.185052284402963
29,0.03130141497922709,0.048392953845009676,0.045647615167366914,0.040702060698270655,0.0850274273696486,0.11406720624878065,0.3497276319617913,0.35481970028724175,0.7621177089424801,0.3565701291991974,0.3790115374894982,0.3950408010261571
31,0.036895941679006866,0.027113523265002226,0.049389117948382424,0.03101166597580526,0.04854361176813965,0.06442488416973352,0.5172978561290428,0.5096209816339154,0.7581489748229201,0.5121662717391411,0.5279769120277645,0.5295207436551584
37,0.03421580104870036,0.04099153219818466,0.04948156393232866,0.04684627044528221,0.0695481941329465,0.07193331873523322,0.487409713069611,0.490767949762734,0.8418511869538515,0.49669668908157727,0.5104441149930357,0.5108550508404865
38,0.024458638780944703,0.0317341836357169,0.021489454727003397,0.026066128033642295,0.03349626291277565,0.046243537655588446,0.105202516367778,0.1064166464530795,0.14570351715358137,0.10785612809979359,0.10780095437118277,0.11198085758644905
44,0.04919995288180777,0.06228569978547986,0.02273601828780715,0.036360173484541944,0.03760731813530757,0.053403852254459004,0.23373424954152117,0.2355752763278315,0.25645764005754984,0.22406729741233442,0.21550192967621992,0.21950762353315412
316,0.003951968836349621,0.009076896362526718,0.015158054338103428,0.009845075176107772,0.0014243699240119104,0.05169481523036873,0.05344244894317431,0.05554875913478185,0.09462417340840693,0.05551238966726091,0.07474937287874871,0.0757810562388651
953,0.018382118206772657,0.019457162381226994,0.02563364551015698,0.018341968250132967,0.038308434966358794,0.057693159831151336,0.19271910162808095,0.1831241305996666,0.26349422154995306,0.1849190946800327,0.20773309466775372,0.20374967724810822
958,0.0002801851428922526,0.006625460692629369,0.010002264866172101,0.0009653639593349847,0.004431844597675946,0.07348959764586091,0.010133613454062006,0.020760833795270238,0.0833038679936996,0.028610487811201287,0.0404002696167894,0.05678630266423654
962,0.0,0.0,0.0006960066650822752,0.0,0.0005610122780859901,0.07900676296499146,0.016443593585595134,0.015703043070473918,0.03441675646191359,0.016127725611824087,0.03429523212630533,0.061872025750194404
978,0.0013639488015682745,0.0022291939807351406,0.006446307847613979,0.0011679876386075632,0.006673837043638331,0.07020092386561652,0.022621089460834215,0.021297093364342348,0.07181232763632402,0.030275110467108145,0.05611345416723772,0.057834705495724704
1067,0.02168412215144101,0.02009944498521872,0.03496453574529528,0.021166155060087642,0.05769520695915748,0.051279772938443394,0.35348103374309964,0.3536603793826192,0.47854951199187246,0.35405528703754535,0.3769995179423065,0.3613351189419016
1462,0.0074691097438507985,0.0169248731627708,0.022289293026427855,0.00787769650993763,0.046860983572946074,0.10158759354015306,0.028070058660582084,0.03834718751063504,0.1039460324889194,0.045258318582884344,0.04563808884359463,0.09981816753801981
1464,0.0394727765100575,0.04931111993467465,0.04275980231206629,0.046838235828044736,0.08245733029074083,0.08174387578331485,0.4803836416761278,0.4830405712765581,0.6994754637446415,0.48827847462122326,0.5109614618127339,0.5004560200889216
1487,0.03801325466232211,0.014586852402234875,0.028818682612163776,0.015462352776595096,0.046904926643520695,0.04913274977249527,0.1748014241125757,0.16465429447621105,0.2562088092391947,0.16439234892327945,0.19545243423233977,0.1777182256269463
1494,0.023551490623989407,0.053524113966781764,0.03632991118624688,0.04110291025822563,0.0643344893850037,0.0917990069639919,0.34366494775718637,0.3446423741069923,0.5027291276546743,0.33949862738878755,0.35407900146849636,0.3687936061025765
1510,0.02499552444359021,0.0388579250021815,0.036695815633295645,0.0319235913240371,0.04199048423272157,0.12194045364366059,0.12593839438597831,0.13733285415412022,0.47624049397100043,0.13239814608373984,0.26099095932715505,0.22005475942355468
4134,0.10227548849305865,0.060955516112799445,0.02727914035434617,0.06143539499822333,0.04269557189387154,0.04845946418187977,0.6570377126229637,0.5523867280239187,0.5985261897758819,0.5532317947897643,0.5442714795808169,0.5465644263739763
40701,0.10016667347419332,0.09989424820598142,0.026846674340853638,0.08206057601282948,0.060880332065545065,0.0468975663720836,0.3066811488512691,0.30737312415091167,0.31517070840464584,0.2992403097568992,0.28962272781935366,0.2882021529927395
PROMEDIO,0.02775461,0.02757405,0.02751130,0.02558928,0.03948804,0.07126945,0.22068288,0.21791881,0.33893132,0.21784954,0.23813392,0.22115708,0.23416392,0.22070718
