Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
310,0.14156391223618842,0.007653436973909884,0.011590870923308271,0.007592788533953985,0.022198962904707274,0.020687580375477334,0.2737406454953466,0.0692848404470327,0.07818906373082082,0.06768800621627967,0.072859905464618,0.06652269425468037
725,0.049309269960185406,0.07191201482620092,0.01725854439426064,0.03086643195411358,0.036665368736255734,0.03879091622705629,0.2230118404881711,0.23656279346828624,0.22469457001315948,0.20769361028865926,0.2141566183708566,0.21337789026533827
761,0.14930932169425004,0.12837085897588843,0.019252058093712106,0.014778007693456956,0.046131498623956754,0.03546916883783983,0.9380203215238879,0.3203366980154425,0.25262331174563984,0.24173321978865378,0.3201662631499191,0.24701393754849513
803,0.033950438753049525,0.02773853635504699,0.0213828827287723,0.030318834444797854,0.028774570739742288,0.04209728145580351,0.250409491340805,0.2235011912449182,0.25376276734255687,0.220211474427893,0.2295914100202219,0.2240155591479729
807,0.03711016059685017,0.04561117164206523,0.024529373396968326,0.022706833790505875,0.042929020990863306,0.0408063294373608,0.52319054865225,0.5244023108511275,0.543538293589125,0.5185465458636965,0.5230386569856812,0.523317957958605
819,0.01663844480027048,0.02160683951070935,0.01965377021960498,0.022548877006789984,0.027761104684378854,0.03535175675131093,0.33028052715163775,0.3251938734700915,0.35275318586639715,0.32541413597672053,0.32927423159034563,0.32834585669520083
833,0.09982361676073591,0.08946066102344379,0.023564490650589992,0.03129629649115864,0.04382271327822427,0.04163169188070847,0.5126797798956205,0.4499201641178673,0.4570073274840307,0.4272233083060755,0.4308131078779017,0.4287625881518979
847,0.19667192139890063,0.11942364176898992,0.021008099822234155,0.015233646255525929,0.05266232825137505,0.046046982306739974,1.507624679648186,0.47266091450230135,0.44359262332848765,0.4184037707116575,0.47979449735391616,0.42681193851103627
923,0.5225347492768608,0.40280305862167287,0.01307796495367598,0.002724374663718933,0.0038195069778808677,0.04127328813479905,2.804808930014994,0.5118113047839521,0.04334804224733282,0.023052636887012562,0.5125867868447145,0.03504635478122297
959,0.0,0.0006809559567581607,0.0,6.324413383556818e-08,0.0,0.0027072268888207345,2.220446049250313e-16,0.0006423024132800866,2.220446049250313e-16,3.651402683510096e-08,2.220446049250313e-16,0.002559353245224308
1019,0.05685991302879695,0.003935345717306327,0.01501909386558435,0.0004258701746933628,0.011229227701696225,0.027584393028428758,0.33558186338723667,0.08650445285502587,0.09684008021634515,0.07756560687806993,0.08835373459234022,0.08126534025165229
1046,0.24797338141088754,0.08176665478162062,0.024078691159460486,0.04033100775652688,0.048212505533134865,0.04578376717777594,0.7461347268127138,0.4991385972747927,0.4848292962351984,0.48490234853906067,0.48850228669936213,0.4836797147611653
1053,0.2078557104515292,0.08144677881360801,0.025138982020553348,0.05626352996478051,0.019984310616906177,0.03954800340433561,3.2335503283908396,0.478095959043776,0.46665444536486583,0.4654489714649002,0.47893107667404844,0.4607145076198328
1471,0.4616623181998141,0.04355627093116301,0.019376580633004358,0.03710204277629325,0.01667932445471014,0.036191025130982254,5.973650818383637,0.6840313655019514,0.6880995119920944,0.6817839009968922,0.6858458191742575,0.684416558994478
1489,0.1777631813084269,0.06744701714604727,0.026600827530339887,0.06735853553108674,0.045262534207496555,0.05917262783690276,0.6380711072782812,0.47624217837048605,0.49918631721728063,0.4642017003577855,0.4783612893371982,0.464350960038948
4154,0.03144749596540468,0.0008566323291728467,0.003545958494257153,0.0006228377253918332,0.0033021077432302233,0.017379150186710424,0.1615153584084627,0.008312166253248866,0.016429174413046088,0.008546642206964447,0.009906642052996123,0.01229859640007113
4534,0.4595841395965304,0.31173543387946706,0.02676262170917447,0.01893814672968958,0.055065159251309295,0.04140975592342418,3.0045382441121045,0.4691251595547783,0.20594938768974427,0.20335351298549276,0.4815987040831514,0.22184561921396073
45036,0.38414915353202955,0.13542526515450246,0.02287317081875087,0.09909693524187242,0.05927228701748803,0.03447602257848872,1.4953501509803626,0.6744037951194918,0.6468258296480357,0.6577401180024571,0.6520415629293304,0.6406851958455408
46281,0.8658583376293987,0.0027860093804063777,0.002800959439127537,0.0028010901440920057,0.006346819565861576,0.007693114718755266,29.04552127759186,0.2251845889492679,0.2251898312308239,0.2251908845624315,0.22572511278200602,0.22619252459221084
46298,0.1050692350651132,0.028385794930598816,0.02042444390786681,0.0161531047456966,0.03681137969975872,0.037570496526173475,0.39378686456704515,0.3512219123332551,0.3682277166765618,0.3469940294819118,0.3536090478380705,0.3546471446739581
PROMEDIO,0.22032167,0.08073307,0.01732292,0.02570516,0.02782811,0.03417485,2.18663537,0.33306002,0.30984431,0.29912969,0.31219805,0.03273209
