Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
310,0.011286463266125781,0.0141445394853566,0.010516955635236252,0.015017049093561751,0.019282550052763615,0.02281418851998533,0.08123561908660804,0.04922457964805745,0.058363120908174394,0.05225709502175806,0.053902108150255396,0.055921568827740575
725,0.05078431926223536,0.028400484968639218,0.019179390305284972,0.016550713811882303,0.026588850983126897,0.0472390981288173,0.17144878508207242,0.15440291835454403,0.17194119985579637,0.14569263198687438,0.15218182397966062,0.18749592026626452
761,0.03254764805015505,0.02329641516410922,0.018565787964812275,0.020094563307335046,0.02861030988377008,0.04707736436604649,0.1795172624519447,0.16589961282126173,0.1836162281400226,0.16881514228410271,0.16859667523682226,0.20187959402220318
803,0.01910788568943098,0.016969021369256668,0.016671264717552817,0.06750929305988901,0.02372936413366328,0.05230794911698291,0.287220453931355,0.17945549183044274,0.18233996992075685,0.2571075406611422,0.18448728010893273,0.2129212756467928
807,0.09303730884548614,0.027226318822289083,0.017468108346413852,0.017785516691371694,0.033168655778060316,0.05213442383415862,0.40006395437981906,0.36610805581851347,0.392401643266321,0.3619782361524976,0.36772647874642056,0.3914316454665255
819,0.020652473307937295,0.02407654177970661,0.017185330524090693,0.057886031735619785,0.02648055464726278,0.047596906669636826,0.37216637629228166,0.3097729696697421,0.31307855433395526,0.36046163398079484,0.31320606873064216,0.34019605816931436
833,0.07622121200745617,0.025272710759292324,0.02124029755751097,0.017084858489286446,0.040896606668320505,0.05475880093200131,0.43079597519008217,0.41177231025020317,0.44213068365286856,0.40818138269941906,0.4166385316456671,0.4338284618069682
847,0.033003087860840344,0.025590901809298634,0.020768829788065504,0.03424166355258103,0.03599493205678799,0.05709607190641766,0.34786463237115717,0.33050062757603954,0.3561240204266607,0.3457560331417811,0.33359186255201834,0.37284907698913117
923,0.0033674692528082857,0.0009917348603526136,0.00011143446633480258,0.0002306031587492175,5.389668230847896e-05,0.0038470882495378893,0.0010045417339969533,0.0011822802502016855,0.0005670791816709249,0.00020304498801195344,0.0009583577952285595,0.004279875272526255
959,0.008932987144797407,0.0006870138152492868,4.872660146099289e-05,5.928509409093889e-05,0.0,0.0027157480189152644,0.005112664982884845,0.000643351959970371,3.03986436394486e-06,2.1661168107689734e-05,2.220446049250313e-16,0.0025634756860058593
1019,0.03580666765990363,0.00731583761219948,0.008562150224258429,0.008110122798554262,0.018750003599244853,0.01887195893734827,0.026672671297623553,0.014876663959211384,0.032435422775388856,0.01704650979010576,0.020086267130690547,0.022889094283503768
1046,0.011583685711189964,0.022067088843996652,0.012724066230505282,0.025227678513733795,0.020739568875858955,0.032647177036487465,0.16894893314552292,0.1470264168630806,0.14946095334138343,0.15186301375716366,0.1486553392082052,0.15850957975566918
1053,0.04322193373565725,0.03485248646867181,0.023870692541473303,0.04413409745559762,0.0352671001152605,0.04518249258671978,0.5552683616007531,0.4340689766983366,0.4400084610945101,0.4379750022432345,0.4373786741481541,0.45437487604370363
1471,0.14415316472017245,0.009598582984876343,0.014414482348791734,0.008627197553471314,0.032391917599665636,0.03420906081037797,0.2872121342949049,0.1962660378463613,0.21219993782751792,0.1952281013487401,0.2013458754207516,0.2129681565942383
1489,0.04893507688890715,0.03680085722481664,0.028573406450841735,0.0474591491123745,0.03838638806270526,0.061379272159670845,0.2873373635835455,0.25659118113359,0.2744414314407285,0.2689982804317484,0.26184526406058245,0.304142024387412
4154,0.003955184759217911,0.0010169766136211129,0.003248276227160374,0.0018059583821838792,0.003489465157726712,0.005154702396230123,0.014464135957769289,0.005847275561347394,0.012691250723169671,0.01035055859281116,0.00934533552991747,0.006220274559355283
4534,0.06044973941793454,0.058059655815374346,0.021025270757824142,0.05833037270808294,0.032648058318175056,0.03660147938095939,0.11270666668933231,0.09527786626983009,0.10446528526990678,0.10312697879176877,0.09503608199183206,0.11461776556717884
45036,0.024035381466950802,0.017283923344693985,0.0210328235675872,0.03605669278203073,0.034625477847219616,0.04607076006428402,0.5891800171803235,0.5757022857928252,0.5912809713751781,0.5852765855474812,0.5788951244797982,0.5926077241889199
46281,0.055593156307654906,0.024381130770260252,0.009464249669824414,0.021967459969121635,0.026899194834432087,0.029196268456144394,0.4268773487676274,0.2188810479782472,0.2187697524429745,0.2184129798377701,0.22397980378823112,0.22698120061926058
46298,0.14135871093987154,0.017123385981210288,0.021830015332867467,0.014475565612207131,0.038114827466200464,0.04584650921893701,0.27799182391288435,0.19044936552050534,0.20906694063949152,0.18830282823568611,0.19467086567832528,0.2141314824504283
