Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
3,0.05555957694798261,0.011626750970781247,0.017047627096942578,0.012811352939558237,0.025323375618019398,0.033509689843043755,0.07353766777878205,0.03925078071434626,0.12085441754603328,0.04302310976613196,0.0579619467625566,0.060340514877133274
15,0.028117544821830695,0.0189649831854981,0.030303018537885626,0.018159862085225024,0.03523729855740454,0.06544427833186713,0.13781420804639266,0.11686340881014985,0.3890968045438165,0.13747717652994973,0.16825186344492718,0.1594248430429907
29,0.02269556396030917,0.024768158915083174,0.04401557736950172,0.0381002506860162,0.06213859598692013,0.11822858512862372,0.388952181744296,0.3411335980154899,0.6585440008036383,0.39076098233968815,0.3597429797019668,0.4302550396744138
31,0.04002182980479129,0.03804395788057507,0.04390379006044612,0.0379511021559589,0.06753595375476736,0.07284338936992389,0.5043025648551461,0.5042326288938008,0.746062580628088,0.5045241902159728,0.5223990041206698,0.568305961561967
37,0.02891131580544443,0.039047505529045096,0.0530405934603896,0.04210856997174324,0.06194022593684755,0.0871693102582643,0.5019398272167692,0.49932653347733724,0.8209709857586673,0.5061193562655649,0.525115393932183,0.5850284895488442
38,0.03496046630848371,0.0234477214306649,0.015992403893797823,0.017897691945635574,0.02398929611508222,0.03686368024991463,0.05471711314146664,0.048969746683481426,0.10766188010303025,0.04304412053987005,0.05360350809988001,0.061906752926368096
44,0.05606069951068528,0.01802971924445205,0.022342359712195413,0.031479712229386746,0.03064251749408618,0.05653371173842109,0.19221289292426266,0.14466185219537325,0.18118548480207347,0.17284235524492012,0.15312964800288667,0.18783844798131785
316,0.008863420833685288,0.008803003744894747,0.014193760867737399,0.008949511019086538,0.0015704823521002023,0.03787175385405284,0.12279449784566744,0.07204676734066798,0.1090082403543203,0.08347595937598448,0.07475244589449442,0.0839960877172031
953,0.17114715730119653,0.02836468771707619,0.024563053698977284,0.030597263670050227,0.050057305321513576,0.05351962503620035,0.23233740857560595,0.09797842414692066,0.18122038508607563,0.10347385623790106,0.12771521931878357,0.1301497392245657
958,0.018992833309246775,0.011790332193519994,0.009656872015338389,0.011316507372920406,0.01773301352384534,0.02818257643519754,0.01614110445706486,0.015433188496409931,0.07823187112981184,0.024142795722620236,0.02731130985336343,0.029667476598571912
962,0.008705632357190428,0.006319941264183765,0.004595834268443715,0.003223141704235726,0.0007863652698173398,0.030477161638299152,0.03213003592766131,0.013453860381458382,0.04772221172484663,0.03035446285220169,0.04341324924116478,0.025754973430845905
978,0.027362878813864323,0.007788917488773846,0.011544567681100177,0.00718817948251298,0.010356876959159147,0.03315755396932301,0.037489809322494995,0.0244036418695396,0.10001583314550302,0.03244659844571798,0.04374944355090734,0.04183579667583298
1067,0.03210866090109289,0.034068861557875536,0.03416850807819653,0.028458015833171757,0.050094865322465196,0.04696539018461328,0.5451357136574463,0.34982470554044554,0.4343552086887847,0.355372418581074,0.3635943909019439,0.39161765651259733
1462,0.02828255452119497,0.010405905897697828,0.01720117609447785,0.006653151558852569,0.02435598718323457,0.028523081749862178,0.03696341511526405,0.02676315523958617,0.1372180655156866,0.039669744886268635,0.057202932148228115,0.0471857866580387
1464,0.12308596433435516,0.04104921718223622,0.047399973821019056,0.042548617172432496,0.08407723466334194,0.071762099720445,1.005693131457451,0.519395319846892,0.6450634022464213,0.5272537939471649,0.5351966600005892,0.5633479247812203
1487,0.02518930444384679,0.03259606321374876,0.030624611594769098,0.03145062875989755,0.03725853932776127,0.052409880777432936,0.18239130258371222,0.16201447332477195,0.2144875416086128,0.16877503271345293,0.17705753667926438,0.19251760824405217
1494,0.024747178253923446,0.016907359231701186,0.03486079324484615,0.026749321183056205,0.05401233535033168,0.08825716578818814,0.36400781810965155,0.32491475397972375,0.5400131765759754,0.3619795003939782,0.34024526061488286,0.40988490504882014
1510,0.03975439763867728,0.026823638872476387,0.0363113636687217,0.03312693927214414,0.05744431090001542,0.07515699349000277,0.16756471521077174,0.12457694792660781,0.49820215639907345,0.16501620519258306,0.21393771071552925,0.18987796249409278
4134,0.060227267695559916,0.01910013351396521,0.025524454539761314,0.02562673359317378,0.051419131415854726,0.07048738513271721,0.4773253933262722,0.46275589743555456,0.5395206544146447,0.46964592657909615,0.47191553302895045,0.513398952086864
40701,0.08652714714230829,0.019471444920136596,0.025183515250914463,0.02051396978428139,0.040835068793374105,0.043702476343097325,0.257342357965559,0.1681358627949768,0.20667019879062984,0.16898466372719242,0.1733614764149791,0.19146481520566297
PROMEDIO,0.04538086,0.02136453,0.02578709,0.02192442,0.03671985,0.05323406,0.25763126,0.17034314,0.30699068,0.17416123,0.20719508,0.22328602
