Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
3,0.04826834040467945,0.05054166633033181,0.021893697369810332,0.04750483575658922,0.049665192436092014,0.06530691703883515,0.1049883168850676,0.1065496941262099,0.15473343654254018,0.10269634830843556,0.13450872396525282,0.13147813522715793
15,0.01756603916154281,0.019377108463418564,0.02645167053697242,0.025914258816934564,0.026070327360814164,0.13054865491405307,0.1055813450139904,0.10950473704521006,0.4201906826049941,0.12653251472301932,0.17489406097445584,0.20090454139721975
29,0.059786143125902476,0.09527650920138388,0.0869666230168461,0.07869598129831176,0.0761211440828151,0.11518514730816101,0.6265929562110581,0.6381530995221324,0.9715184972981321,0.6292858937433466,0.6328234585001631,0.6540458482681122
31,0.04340064898996023,0.04829642586288188,0.058636768137496686,0.04823586662369305,0.040351376966512115,0.08071876908971105,0.6050372016535269,0.6082668046019374,0.7630718721820198,0.6085384835155816,0.6107033964092623,0.6264396502233428
37,0.031825673716792596,0.04051790454073395,0.057405032992999774,0.042113101777317107,0.08482438507635398,0.09506267397891932,0.5086837545565883,0.5121609738249684,0.8790507032514863,0.5127037987541122,0.5427942732512893,0.5603049331879438
38,0.025319467695395406,0.03094561853314632,0.02546209647733351,0.014835191062418429,0.03738527726367985,0.04029217586656926,0.13113947710421228,0.12154963020190966,0.1577081626939532,0.09989023509888345,0.11474182546847095,0.11636268716054035
44,0.1274493580370044,0.12636904878776098,0.0332780605372312,0.1160899740782357,0.0482356469673762,0.06556390903465445,0.5639215026496563,0.5641704123696165,0.5597756662523908,0.5553615832617581,0.536064762570402,0.5394513571762467
316,0.0031407947575275608,0.006532682689371147,0.01622803144655083,0.007005392747427236,0.0013765670397872275,0.05249330917960427,0.0603760919097852,0.06104511352004811,0.11421679733291787,0.06154637863764058,0.07477682718705124,0.0876272664855501
953,0.012169181019258546,0.013223376437039176,0.020573176626611952,0.01710296294140545,0.039810424087103634,0.06455143287981883,0.12418736430511344,0.12043438158163003,0.21831014194380688,0.12760588224750183,0.14052283515810338,0.16269134338388652
958,0.02108492478936506,0.02732189789249321,0.024254142976198666,0.02265520242057243,0.051924446635529725,0.06557886365455752,0.0937738935339173,0.09296878137065352,0.18509513462222388,0.09319304338750978,0.11381835148933533,0.128522676496559
962,0.07925868309852466,0.04053934773796958,0.02174494874295365,0.012397542148335425,0.0468582807485434,0.05450359015741239,0.11111234331363062,0.09986730675129231,0.26091876118257257,0.10265037743191334,0.14382638121396848,0.12757710980910109
978,0.05739472916449285,0.014994510780865021,0.027412761990786856,0.0119209241734194,0.04714928238873102,0.0752398617019473,0.08501977636117675,0.07809896441188209,0.18110388760983928,0.07578586090731092,0.10249924838136565,0.12755252867883804
1067,0.10106650587723554,0.10165964800477259,0.03849706018615938,0.10006955807304374,0.05223079530636698,0.06261814440649846,0.4092379856900611,0.41248070206686854,0.4715158690708053,0.41104524259254555,0.41554040877972814,0.4043870490427922
1462,0.0002788544912943247,0.0012520908308547988,0.002310663750571756,0.0,0.0022217911334871474,0.0967844337450331,0.006906014924520241,0.013889501957525592,0.0008615353980782819,0.00031793745444424484,0.0008055557212879729,0.08690176710941615
1464,0.06538460891837854,0.07577739206720402,0.04710729084621024,0.07579590115664833,0.023111474019311823,0.10756973633357388,0.558143477615103,0.5717822698929096,0.7301027005516368,0.6047238169601936,0.5496884606101351,0.5716402077407129
1487,0.07120125018817562,0.01431860345488602,0.026661371204816167,0.01581615138863852,0.03212637354362045,0.05641167430682704,0.23918620565524593,0.2015287563665209,0.28035779292367713,0.20182292640996052,0.2223287002652451,0.23949539403960304
1494,0.055845835340818016,0.05785016545773321,0.04720398146957603,0.058740738084289666,0.07504283218444055,0.1159977700728217,0.41026121865958215,0.41231227079049587,0.5989778724809665,0.41272452705078877,0.43582643701397933,0.4789844316980419
1510,0.029389612983335353,0.03456501884097228,0.03667375232645865,0.042721100975837825,0.07268737812279268,0.11786573192017064,0.20747202502259582,0.2143920065364714,0.5844942122090576,0.21376673261282847,0.2632191469594549,0.30290515481519126
4134,0.020547284129809783,0.020936133541535114,0.027217071375990224,0.021480086180467012,0.03911843640904529,0.060582084588562714,0.4879401537391208,0.4881823482928975,0.5552169695245105,0.48806100445393874,0.49397340892271946,0.5175721413952435
40701,0.052858811641932,0.044988064308857566,0.02180347937796239,0.02716401482654589,0.04617076844609183,0.039587967454525155,0.38575764676901175,0.38392087931133095,0.4190943174424114,0.37658579202085485,0.3804161785292833,0.3824213463539934
PROMEDIO,0.04659960,0.04374185,0.03561144,0.03929411,0.04619220,0.07833447,0.24478444,0.24704756,0.35537229,0.24688553,0.24929355,0.33505493
