Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
3,0.02575924850897744,0.004172381175026324,0.014468203300796378,0.0044436870770249775,0.022018223800033137,0.04215761071456394,0.036575699329860774,0.030775421234850154,0.09438676155616361,0.03166026744140759,0.05323652546525162,0.04734120068332331
15,0.034407401933898824,0.04555608697418369,0.0400188172955872,0.023518231289673928,0.03882069098713905,0.07657461704740438,0.12470646392704088,0.14453667655773123,0.4479196622760017,0.13261746282678846,0.20002947381922084,0.1634758958311265
29,0.040677591427287385,0.04409322268345358,0.05679390651341994,0.03679299983821707,0.07186039765881881,0.10471591333343307,0.37835489870752176,0.3559368961956202,0.6992129701667646,0.3496220459920009,0.3807036279438556,0.4057396103506655
31,0.08386407889401302,0.04363166880847166,0.043266099295404106,0.03171504357149163,0.07443419542269453,0.06844158457829788,0.5628113321413253,0.5243041298633416,0.7408270676206976,0.5180995153802566,0.5408817115041448,0.5609345207157376
37,0.11489737342279667,0.06320751435458578,0.05410597149260184,0.04567490760325887,0.08393695036738405,0.08747129351650437,0.599445456005618,0.5320488440673422,0.812751328023226,0.5213515291800982,0.5523701635030752,0.5776014252313295
38,0.00820985256265739,0.016844631048022272,0.012643861791160562,0.006360118828608834,0.02918999141102705,0.03861302839290656,0.039760660053694885,0.052535364666754486,0.09588859382679805,0.03929101207037421,0.06474129050147147,0.05287184750328494
44,0.009032400583070784,0.03604812736247256,0.017896595436890043,0.012791530949588424,0.028473374089003824,0.054966993227697866,0.13773032041326344,0.1513573356067016,0.1964812172204737,0.1385574193561661,0.15171868829674293,0.1622882958310885
316,0.013770156195666747,0.015025936019078256,0.013548648782057178,0.009407106884458921,0.0015738050967349642,0.045886870651525434,0.07463437985585333,0.0750767577027241,0.11286405218790062,0.06472457479268011,0.07475644773946087,0.07759605912096702
953,0.027021366711761897,0.019681528901129963,0.023528011094976455,0.009557861619567865,0.03590953922988159,0.054872621834726194,0.10367837965560758,0.11202266026120344,0.18082870475219512,0.10160681361813632,0.13065210480297074,0.12152457008815368
958,0.0022665381801092255,0.003478942152880751,0.0142694127946161,0.006086756475691316,0.008195859488853255,0.04573857725687486,0.018620989155545123,0.02634466826166345,0.1088012248478316,0.03063288639346621,0.05584444902530357,0.04235979877106676
962,0.007491488280370075,0.01078977659034806,0.005963820242177588,0.005270701508032052,0.0044854945987058085,0.051241564232345646,0.010965810717186003,0.01671144327702525,0.06908163490700515,0.024807322847217223,0.05385537971257355,0.042379291894586946
978,0.004703355461671013,0.007812393564267888,0.008352502023973559,0.005232869887334897,0.010507242736444919,0.050110809567806947,0.01791034159753226,0.02763954978847496,0.09992494470420332,0.036427889906528156,0.057761371535961184,0.0454051216189245
1067,0.04585718074338322,0.042201730052215856,0.03569124487113944,0.024813418932081003,0.05962795904083735,0.05942009558914257,0.36693957577408853,0.36373093040851256,0.4721256095175221,0.35350421303715435,0.37916479081168875,0.37958014135880264
1462,0.0095948587483317,0.009279096611436319,0.012165023052830435,0.009076552655619326,0.010040011710317355,0.039255269498219614,0.02700298941303141,0.03609735832204597,0.10384132932832307,0.04467728693651503,0.08386894434708067,0.059851231202351675
1464,0.10487107555201841,0.04590577871781001,0.05443581955509852,0.05031110883318244,0.06184709579334762,0.09052165992012762,0.5808954827413724,0.5144647670907865,0.7386231702476832,0.5182674995470009,0.5260620257673879,0.5528450804348256
1487,0.039937160452941295,0.050605992723693524,0.035872462212971114,0.01578801964152795,0.04402502159535801,0.05217417448048855,0.17589839704830787,0.18522114771820827,0.2614489088455322,0.15414644609916262,0.19698073076246495,0.1767016575585852
1494,0.05921864677377251,0.05892028185369937,0.04381290850729466,0.03276186990085992,0.06841259713853198,0.106487379498687,0.3625407227937247,0.3497743698463804,0.5395685702564565,0.3324266847552249,0.3698148902442277,0.4011685080979744
1510,0.02705791413774552,0.03342770036305137,0.035381999095745964,0.03792467314738981,0.040648487696499556,0.08897831647990721,0.11310142764730154,0.13114872234078992,0.4671824314538008,0.12920208730875168,0.2509755136215092,0.18231563847850757
4134,0.041226070387101646,0.03262300256992737,0.03096586605004283,0.01739357988992936,0.0433745195352264,0.0687765228096542,0.47284153744368773,0.46780019792864025,0.5373998756892848,0.46222050507421386,0.47387710211065054,0.5067740119749803
40701,0.02152239567292302,0.015165386478238113,0.021132898154996426,0.01593517493208173,0.0312776051097456,0.05730113345655341,0.17375838791776604,0.1708214308543362,0.21655603644072793,0.17066338940565845,0.17494647971618565,0.18871888883736024
PROMEDIO,	0.0376735840,	0.0300892790,0.0304652016,0.0209267966,0.0396071846,0.0642821538,	0.2032849573,0.2016420055,	0.3453179730, 0.2044154298,	0.2589422771, 0.2665461324
